,optimizer,learning_rate,loss_fn,batch_size,macro_f1,micro_f1,weighted_f1
0,Adam,0.001,kullback_leibler_divergence,16,0.4809353559080063,0.42744323790720634,0.5314877605966961
1,Adam,0.001,kullback_leibler_divergence,32,0.4869228380251046,0.7551826258637709,0.8018330130479411
2,Adam,0.001,kullback_leibler_divergence,64,0.6255751964085298,0.8998025666337611,0.8978509257795209
3,Adam,0.001,categorical_crossentropy,16,0.7415431553899016,0.9318854886475815,0.9247853457327831
4,Adam,0.001,categorical_crossentropy,32,0.4832424999416868,0.49851924975320827,0.5956644206250656
5,Adam,0.001,categorical_crossentropy,64,0.6948642279252407,0.8958538993089832,0.9022226585630968
6,Adam,0.01,kullback_leibler_divergence,16,0.4609905362923261,0.35241855873642647,0.436469010979558
7,Adam,0.01,kullback_leibler_divergence,32,0.6042722230339488,0.7507403751233959,0.8001696328503163
8,Adam,0.01,kullback_leibler_divergence,64,0.4382138228870736,0.3050345508390918,0.38579446185195
9,Adam,0.01,categorical_crossentropy,16,0.4778867704731897,0.4180651530108588,0.5170439819123833
10,Adam,0.01,categorical_crossentropy,32,0.4425197648593028,0.30306021717670284,0.37055906486624857
11,Adam,0.01,categorical_crossentropy,64,0.406911402503929,0.28084896347482724,0.35965776120722603
12,Adam,0.1,kullback_leibler_divergence,16,0.5040547849458501,0.6604146100691016,0.7216951586288035
13,Adam,0.1,kullback_leibler_divergence,32,0.3724745735560956,0.4096742349457058,0.4972498720718691
14,Adam,0.1,kullback_leibler_divergence,64,0.3764662414653157,0.420533070088845,0.5046042986173895
15,Adam,0.1,categorical_crossentropy,16,0.45372712501926205,0.6041461006910168,0.6730837218178559
16,Adam,0.1,categorical_crossentropy,32,0.44590126459863466,0.5148075024679171,0.6084052072966988
17,Adam,0.1,categorical_crossentropy,64,0.38240286462258,0.40473840078973344,0.483980159148853
18,SGD,0.001,kullback_leibler_divergence,16,0.763423535022216,0.9294175715695953,0.9265475350556521
19,SGD,0.001,kullback_leibler_divergence,32,0.6756745542138753,0.8790720631786771,0.8864211351454037
20,SGD,0.001,kullback_leibler_divergence,64,0.8176287517240743,0.945705824284304,0.9442714163189063
21,SGD,0.001,categorical_crossentropy,16,0.6902532292423718,0.918558736426456,0.9144694986077049
22,SGD,0.001,categorical_crossentropy,32,0.5165445757597997,0.5804540967423495,0.6702630908652187
23,SGD,0.001,categorical_crossentropy,64,0.7392072118627516,0.9234945705824285,0.9206868789386992
24,SGD,0.01,kullback_leibler_divergence,16,0.47909249526164244,0.4318854886475814,0.5440196618101886
25,SGD,0.01,kullback_leibler_divergence,32,0.45659835304701507,0.3938795656465943,0.4971420646944379
26,SGD,0.01,kullback_leibler_divergence,64,0.47567683643377956,0.3923988153998026,0.49503332208623657
27,SGD,0.01,categorical_crossentropy,16,0.7260725758247013,0.9304047384007897,0.926091817328559
28,SGD,0.01,categorical_crossentropy,32,0.7024679301754175,0.9017769002961501,0.9032006006532888
29,SGD,0.01,categorical_crossentropy,64,0.6931800484921974,0.9190523198420533,0.9102098995889287
30,SGD,0.1,kullback_leibler_divergence,16,0.525719946901746,0.4713721618953603,0.5798246261971536
31,SGD,0.1,kullback_leibler_divergence,32,0.7862895307493653,0.945705824284304,0.9400956023299991
32,SGD,0.1,kullback_leibler_divergence,64,0.7843953184877959,0.945705824284304,0.9394016635433596
33,SGD,0.1,categorical_crossentropy,16,0.46727897067955015,0.37462981243830207,0.4680515229177751
34,SGD,0.1,categorical_crossentropy,32,0.4711629521048378,0.4091806515301086,0.5144443260800947
35,SGD,0.1,categorical_crossentropy,64,0.6529629441940544,0.8272458045409675,0.8539361241455015
